ID,Price,Location,Room,Area,Floor,Store,Date_Time,Link
2569362,89 000,Həzi Aslanov m.,2,65,13,17,bugün 18:25,https://bina.az/items/2569362
2569359,134 000,20 Yanvar m.,2,94,4,17,bugün 19:33,https://bina.az/items/2569359
2569358,65 000,Əhmədli q.,2,53,9,10,bugün 18:23,https://bina.az/items/2569358
2569349,291 600,Sahil m.,2,108,6,14,bugün 18:20,https://bina.az/items/2569349
2569345,115 000,20 Yanvar m.,2,54,11,19,bugün 18:19,https://bina.az/items/2569345
2555881,110 000,Nərimanov r.,2,75,12,17,bugün 18:19,https://bina.az/items/2555881
2552475,155 000,Nəsimi r.,2,90,16,17,bugün 18:17,https://bina.az/items/2552475
2569340,108 000,Elmlər Akademiyası m.,2,68,8,9,bugün 18:16,https://bina.az/items/2569340
2569338,160 000,Şah İsmayıl Xətai m.,2,90,10,18,bugün 18:16,https://bina.az/items/2569338
2569334,145 000,Qara Qarayev m.,2,107,4,17,bugün 18:14,https://bina.az/items/2569334
2569329,107 000,Xalqlar Dostluğu m.,2,65,8,9,bugün 18:11,https://bina.az/items/2569329
2569325,72 500,8 Noyabr m.,2,47,4,5,bugün 18:10,https://bina.az/items/2569325
2569320,310 500,Sahil m.,2,115,6,14,bugün 18:07,https://bina.az/items/2569320
2569319,122 000,Əhmədli m.,2,88,11,17,bugün 18:07,https://bina.az/items/2569319
2569313,117 000,Əhmədli q.,2,90,4,16,bugün 18:04,https://bina.az/items/2569313
2569310,107 000,Xalqlar Dostluğu m.,2,65,8,9,bugün 18:02,https://bina.az/items/2569310
2569299,150 000,Şah İsmayıl Xətai m.,2,67,5,16,bugün 19:16,https://bina.az/items/2569299
2562953,128 000,Binəqədi r.,2,65,17,17,bugün 17:57,https://bina.az/items/2562953
2569297,185 000,Xətai r.,2,100,3,8,bugün 17:57,https://bina.az/items/2569297
2569295,140 000,Nərimanov r.,2,93,4,13,bugün 17:57,https://bina.az/items/2569295
2551061,47 000,Masazır q.,2,51,2,5,bugün 17:54,https://bina.az/items/2551061
2569276,62 000,Azadlıq Prospekti m.,2,57,8,12,bugün 17:50,https://bina.az/items/2569276
2569275,109 000,Nərimanov r.,2,75,15,20,bugün 17:50,https://bina.az/items/2569275
2536533,165 000,Nərimanov r.,2,100,3,17,bugün 14:02,https://bina.az/items/2536533
2519321,87 000,Memar Əcəmi m.,2,48,3,5,29 dekabr 2021,https://bina.az/items/2519321
2536037,225 000,Nəsimi r.,2,101,4,16,dünən 16:55,https://bina.az/items/2536037
2544748,220 000,Xətai r.,2,95,5,7,07 yanvar 2022,https://bina.az/items/2544748
220,101 493,Yasamal r.,2,75.2,,,13 yanvar 2022,https://bina.az/items/220
85,251 078,Sea Breeze ,2,75.7,,,bugün 12:32,https://bina.az/items/85
86,447 678,Sea Breeze ,2,119.7,,,bugün 12:33,https://bina.az/items/86
206,128 439,Bakı,2,67.6,,,bugün 10:57,https://bina.az/items/206
2529896,130 000,İnşaatçılar m.,2,65,14,16,bugün 17:46,https://bina.az/items/2529896
2535420,78 000,Memar Əcəmi m.,2,50,3,5,bugün 17:45,https://bina.az/items/2535420
2561691,222 000,Nəsimi r.,2,104,17,24,bugün 17:44,https://bina.az/items/2561691
2552216,185 000,Nəsimi r.,2,106,7,18,bugün 17:43,https://bina.az/items/2552216
2319409,140 000,7-ci mikrorayon q.,2,70,7,16,bugün 17:43,https://bina.az/items/2319409
2504219,145 000,20 Yanvar m.,2,98,14,18,bugün 17:42,https://bina.az/items/2504219
2552230,124 000,Memar Əcəmi m.,2,98,7,12,bugün 17:41,https://bina.az/items/2552230
2569241,73 500,Həzi Aslanov m.,2,50,5,9,bugün 17:41,https://bina.az/items/2569241
2569233,118 000,Nərimanov r.,2,60,11,15,bugün 17:39,https://bina.az/items/2569233
2569230,127 000,Nərimanov r.,2,60,5,16,bugün 17:38,https://bina.az/items/2569230
2536421,230 000,Elmlər Akademiyası m.,2,95,12,18,bugün 17:37,https://bina.az/items/2536421
2541377,106 000,20 Yanvar m.,2,53,17,20,bugün 17:36,https://bina.az/items/2541377
2534392,120 000,Nəriman Nərimanov m.,2,76,13,18,bugün 17:36,https://bina.az/items/2534392
2547719,98 000,8-ci kilometr q.,2,70,8,18,bugün 17:34,https://bina.az/items/2547719
2498259,125 000,20 Yanvar m.,2,93,3,20,bugün 17:34,https://bina.az/items/2498259
2327142,137 000,İnşaatçılar m.,2,65,3,16,bugün 17:33,https://bina.az/items/2327142
2569208,84 500,Həzi Aslanov m.,2,72,6,9,bugün 17:33,https://bina.az/items/2569208
2569200,74 000,Badamdar q.,2,49,1,4,bugün 17:31,https://bina.az/items/2569200
2569194,68 000,Neftçilər m.,2,65,2,5,bugün 17:30,https://bina.az/items/2569194
2559608,65 000,İnşaatçılar m.,2,70,13,13,bugün 17:28,https://bina.az/items/2559608
2569160,118 000,Yasamal r.,2,55,5,9,bugün 17:23,https://bina.az/items/2569160
2542086,118 000,Həzi Aslanov m.,2,70,5,17,bugün 17:23,https://bina.az/items/2542086
2569153,200 000,Şah İsmayıl Xətai m.,2,90,15,16,bugün 17:21,https://bina.az/items/2569153
2569137,72 000,Bakıxanov q.,2,66,18,21,bugün 17:19,https://bina.az/items/2569137
2495677,156 000,Elmlər Akademiyası m.,2,64,9,17,bugün 13:28,https://bina.az/items/2495677
2544748,220 000,Xətai r.,2,95,5,7,07 yanvar 2022,https://bina.az/items/2544748
2446299,105 000,Həzi Aslanov m.,2,76,5,17,21 dekabr 2021,https://bina.az/items/2446299
2533979,107 000,Əhmədli q.,2,67,4,20,10 yanvar 2022,https://bina.az/items/2533979
85,251 078,Sea Breeze ,2,75.7,,,bugün 12:32,https://bina.az/items/85
206,128 439,Bakı,2,67.6,,,bugün 10:57,https://bina.az/items/206
220,100 318,Yasamal r.,2,74.3,,,13 yanvar 2022,https://bina.az/items/220
86,319 056,Sea Breeze ,2,81.6,,,bugün 12:33,https://bina.az/items/86
2487003,164 000,Elmlər Akademiyası m.,2,85,6,21,bugün 17:15,https://bina.az/items/2487003
2507702,83 000,20 Yanvar m.,2,50,3,5,bugün 17:15,https://bina.az/items/2507702
2569123,140 000,20 Yanvar m.,2,84,4,10,bugün 17:26,https://bina.az/items/2569123
2569111,100 000,Yeni Yasamal q.,2,82,14,17,bugün 17:10,https://bina.az/items/2569111
2569109,90 000,28 May m.,2,61,2,2,bugün 17:09,https://bina.az/items/2569109
2524432,110 000,Yasamal r.,2,55,5,9,bugün 17:08,https://bina.az/items/2524432
2569108,115 000,Həzi Aslanov q.,2,65,10,21,bugün 17:11,https://bina.az/items/2569108
2569106,73 000,Memar Əcəmi m.,2,50,1,5,bugün 17:07,https://bina.az/items/2569106
2569100,95 000,İçəri Şəhər m.,2,56,1,3,bugün 17:05,https://bina.az/items/2569100
2390448,189 000,Elmlər Akademiyası m.,2,108,7,20,bugün 16:59,https://bina.az/items/2390448
2556658,82 500,Nərimanov r.,2,45,2,5,bugün 16:56,https://bina.az/items/2556658
2569074,158 000,28 May m.,2,94,7,16,bugün 17:00,https://bina.az/items/2569074
2569070,83 000,Yeni Yasamal q.,2,50,12,19,bugün 17:01,https://bina.az/items/2569070
2569066,125 000,Nəsimi r.,2,60,2,5,bugün 16:53,https://bina.az/items/2569066
2569057,73 500,Həzi Aslanov q.,2,60,1,8,bugün 16:51,https://bina.az/items/2569057
2564825,128 800,İnşaatçılar m.,2,60,7,19,bugün 16:48,https://bina.az/items/2564825
2569046,100 000,Nəsimi r.,2,51,1,3,bugün 16:46,https://bina.az/items/2569046
2569044,112 000,Həzi Aslanov q.,2,95,7,14,bugün 16:46,https://bina.az/items/2569044
2569041,115 000,Nərimanov r.,2,70,14,16,bugün 16:44,https://bina.az/items/2569041
2569039,68 000,Yeni Yasamal q.,2,50,4,9,bugün 16:44,https://bina.az/items/2569039
2561032,64 000,Həzi Aslanov q.,2,47,6,9,bugün 16:43,https://bina.az/items/2561032
